39, State-gov, 77516, 13, Adm-clerical, White, Male, 40, United-States, <=50K
50, Self-emp-not-inc, 83311, 13, Exec-managerial, White, Male, 13, United-States, <=50K
38, Private, 215646, 9, Handlers-cleaners, White, Male, 40, United-States, <=50K
53, Private, 234721, 7, Handlers-cleaners, Black, Male, 40, United-States, <=50K
28, Private, 338409, 13, Prof-specialty, Black, Female, 40, Cuba, <=50K
37, Private, 284582, 14, Exec-managerial, White, Female, 40, United-States, <=50K
49, Private, 160187, 5, Other-service, Black, Female, 16, Jamaica, <=50K
52, Self-emp-not-inc, 209642, 9, Exec-managerial, White, Male, 45, United-States, >50K
31, Private, 45781, 14, Prof-specialty, White, Female, 50, United-States, >50K
42, Private, 159449, 13, Exec-managerial, White, Male, 40, United-States, >50K
37, Private, 280464, 10, Exec-managerial, Black, Male, 80, United-States, >50K
30, State-gov, 141297, 13, Prof-specialty, Asian-Pac-Islander, Male, 40, India, >50K
23, Private, 122272, 13, Adm-clerical, White, Female, 30, United-States, <=50K
32, Private, 205019, 12, Sales, Black, Male, 50, United-States, <=50K
40, Private, 121772, 11, Craft-repair, Asian-Pac-Islander, Male, 40, ?, >50K
34, Private, 245487, 4, Transport-moving, Amer-Indian-Eskimo, Male, 45, Mexico, <=50K
25, Self-emp-not-inc, 176756, 9, Farming-fishing, White, Male, 35, United-States, <=50K
32, Private, 186824, 9, Machine-op-inspct, White, Male, 40, United-States, <=50K
38, Private, 28887, 7, Sales, White, Male, 50, United-States, <=50K
43, Self-emp-not-inc, 292175, 14, Exec-managerial, White, Female, 45, United-States, >50K
40, Private, 193524, 16, Prof-specialty, White, Male, 60, United-States, >50K
54, Private, 302146, 9, Other-service, Black, Female, 20, United-States, <=50K
35, Federal-gov, 76845, 5, Farming-fishing, Black, Male, 40, United-States, <=50K
43, Private, 117037, 7, Transport-moving, White, Male, 40, United-States, <=50K
59, Private, 109015, 9, Tech-support, White, Female, 40, United-States, <=50K
56, Local-gov, 216851, 13, Tech-support, White, Male, 40, United-States, >50K
19, Private, 168294, 9, Craft-repair, White, Male, 40, United-States, <=50K
54, ?, 180211, 10, ?, Asian-Pac-Islander, Male, 60, South, >50K
39, Private, 367260, 9, Exec-managerial, White, Male, 80, United-States, <=50K
49, Private, 193366, 9, Craft-repair, White, Male, 40, United-States, <=50K
23, Local-gov, 190709, 12, Protective-serv, White, Male, 52, United-States, <=50K
20, Private, 266015, 10, Sales, Black, Male, 44, United-States, <=50K
45, Private, 386940, 13, Exec-managerial, White, Male, 40, United-States, <=50K
30, Federal-gov, 59951, 10, Adm-clerical, White, Male, 40, United-States, <=50K
22, State-gov, 311512, 10, Other-service, Black, Male, 15, United-States, <=50K
48, Private, 242406, 7, Machine-op-inspct, White, Male, 40, Puerto-Rico, <=50K
21, Private, 197200, 10, Machine-op-inspct, White, Male, 40, United-States, <=50K
19, Private, 544091, 9, Adm-clerical, White, Female, 25, United-States, <=50K
31, Private, 84154, 10, Sales, White, Male, 38, ?, >50K
48, Self-emp-not-inc, 265477, 12, Prof-specialty, White, Male, 40, United-States, <=50K
31, Private, 507875, 5, Machine-op-inspct, White, Male, 43, United-States, <=50K
53, Self-emp-not-inc, 88506, 13, Prof-specialty, White, Male, 40, United-States, <=50K
24, Private, 172987, 13, Tech-support, White, Male, 50, United-States, <=50K
49, Private, 94638, 9, Adm-clerical, White, Female, 40, United-States, <=50K
25, Private, 289980, 9, Handlers-cleaners, White, Male, 35, United-States, <=50K
