23, Local-gov, 324960, 9, Farming-fishing, White, Male, 40, Poland, <=50K
62, Local-gov, 114060, 9, Transport-moving, White, Male, 40, United-States, <=50K
52, Private, 48925, 10, Adm-clerical, White, Male, 40, United-States, <=50K
58, Private, 180980, 10, Other-service, White, Female, 42, France, <=50K
25, Private, 181054, 13, Sales, White, Female, 40, United-States, <=50K
24, Private, 388093, 13, Exec-managerial, Black, Male, 40, United-States, <=50K
19, Private, 249609, 10, Protective-serv, White, Male, 8, United-States, <=50K
43, Private, 112131, 10, Exec-managerial, White, Male, 40, United-States, <=50K
47, Local-gov, 543162, 9, Adm-clerical, Black, Female, 40, United-States, <=50K
39, Private, 91996, 9, Other-service, White, Female, 40, United-States, <=50K
49, Private, 141944, 11, Handlers-cleaners, White, Male, 42, United-States, <=50K
53, ?, 251804, 3, ?, Black, Female, 30, United-States, <=50K
32, Private, 37070, 11, Craft-repair, White, Male, 45, United-States, <=50K
34, Private, 337587, 10, Prof-specialty, White, Male, 50, United-States, >50K
28, Private, 189346, 9, Craft-repair, White, Male, 45, United-States, <=50K
57, ?, 222216, 11, ?, White, Female, 38, United-States, <=50K
25, Private, 267044, 10, Adm-clerical, Amer-Indian-Eskimo, Female, 20, United-States, <=50K
20, ?, 214635, 10, ?, White, Male, 24, United-States, <=50K
21, ?, 204226, 10, ?, White, Female, 35, United-States, <=50K
34, Private, 108116, 13, Prof-specialty, White, Male, 50, United-States, >50K
38, Self-emp-inc, 99146, 13, Exec-managerial, White, Male, 80, United-States, >50K
50, Private, 196232, 9, Exec-managerial, White, Male, 50, United-States, >50K
24, Local-gov, 248344, 10, Handlers-cleaners, Black, Male, 50, United-States, <=50K
37, Local-gov, 186035, 10, Tech-support, White, Male, 45, United-States, >50K
44, Private, 177905, 10, Machine-op-inspct, White, Male, 58, United-States, >50K
28, Private, 85812, 10, Sales, White, Female, 40, United-States, <=50K
42, Private, 221172, 13, Exec-managerial, White, Male, 40, United-States, >50K
74, Private, 99183, 10, Adm-clerical, White, Female, 9, United-States, <=50K
38, Self-emp-not-inc, 190387, 9, Craft-repair, White, Male, 50, United-States, <=50K
